lng,lat
-82.199997,28.799999
-118.000000,34.000000
-111.199997,40.900002
-121.500000,38.599998
-120.400002,36.099998
-118.199997,34.000000
-82.199997,28.799999
36.167000,-1.767000
36.167000,-1.767000
35.792000,4.250000
35.776001,4.176000
35.724998,4.050000
36.317001,3.975000
36.373001,4.067000
35.000000,-2.416700
28.666700,-24.600000
19.366699,-34.533298
18.433300,-33.666698
18.233299,-33.116699
40.583302,11.136100
27.733299,-26.016701
35.222198,-3.215300
35.208302,-3.215300
35.202801,-3.012500
35.216702,-3.201400
35.211102,-3.218100
35.195801,-3.251400
35.213902,-3.212500
35.195801,-3.255600
27.733601,-26.016701
27.720800,-26.016701
27.720800,-26.016701
27.720800,-26.016701
27.720800,-26.016701
27.720800,-26.016701
27.720800,-26.016701
35.206902,-3.204200
35.202801,-3.211100
35.197201,-3.186100
5.916700,35.750000
5.916700,35.750000
5.916700,35.750000
18.866699,-34.150002
20.533300,32.133301
25.916700,-30.416700
36.250000,15.250000
28.900000,22.900000
30.726400,22.516701
22.166700,32.866699
32.950001,24.766701
31.933300,-14.402200
23.716700,-28.799999
33.750000,16.250000
33.750000,16.250000
25.500000,23.000000
24.633301,-27.616699
25.866699,-30.233299
24.633301,-27.616699
23.555300,-27.845800
