"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=canis&taxon_reso=species&limit=100"
"Access Time","Fri 2017-02-03 22:01:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","canis"
"","idreso","species"
"","timerule","major"
"","taxon_status","all"
"","limit","100"
"Elapsed Time","0.0168"
"Records Found","473"
"Records Returned","100"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"196068","occ","9195","","20150","Canis cf. edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","949"
"196115","occ","","","20157","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","3211"
"196213","occ","","","20166","Canis dirus","species","44837","","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","3081"
"196265","occ","","","20173","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2893"
"196301","occ","9235","","20178","Canis ? latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","6294"
"196351","occ","","","20187","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2893"
"196652","occ","","","20273","Canis cf. dirus","species","44837","","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","2016"
"196653","occ","","","20273","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2016"
"196697","occ","","","20280","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1817"
"196730","occ","","","20283","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2607"
"196731","occ","","","20283","Canis n. sp. cedazoensis","species","44831","","Canis cedazoensis","species","44831","Irvingtonian","","1.8","0.3","2607"
"196732","occ","","","20283","Canis dirus","species","44837","","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","2607"
"196759","occ","","","20285","Canis dirus","species","44837","","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","1482"
"196760","occ","","","20285","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1482"
"196816","occ","9332","","20289","Canis armbrusteri","species","44827","","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","2673"
"196842","occ","","","20290","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2673"
"196843","occ","30223","","20290","Canis armbrusteri","species","44827","","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","52058"
"196901","occ","","","20293","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1462"
"196932","occ","9371","","20295","Canis dirus","species","44837","","Canis dirus","species","44837","Irvingtonian","","1.8","0.3","6294"
"196933","occ","","","20295","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","1907"
"196953","occ","9378","","20297","Canis lupus","species","44860","","Canis lupus","species","44860","Irvingtonian","","1.8","0.3","2673"
"196982","occ","","","20299","Canis edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2615"
"197002","occ","9385","","20301","Canis edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2673"
"197033","occ","","","20302","Canis n. sp. armbrusteri","species","44827","","Canis armbrusteri","species","44827","Irvingtonian","","1.8","0.3","1628"
"197034","occ","9393","","20302","Canis latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","","1.8","0.3","2673"
"197092","occ","","","20303","Canis edwardii","species","44838","","Canis edwardii","species","44838","Blancan","","4.9","1.8","2252"
"197140","occ","","","20308","Canis edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2615"
"197268","occ","","","20319","Canis edwardii","species","44838","","Canis edwardii","species","44838","Irvingtonian","","1.8","0.3","2887"
"197294","occ","30196","","20322","Canis lepophagus","species","44856","","Canis lepophagus","species","44856","Blancan","","4.9","1.8","52058"
"197327","occ","","","20323","Canis cf. latrans","species","44854","","Canis latrans","species","44854","Irvingtonian","Rancholabrean","1.8","0.012","2018"
